AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),Input,NodeList,EDP
0.0,238,17,265352.0,3184.0,3184.0,265352.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,1n-1m-14th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493234.0,1,14,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1693.94,634.78,2328.72,105.87,39.67,145.54,145.54,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,39588.24
0.0,238,17,265352.0,1052.0,1052.0,265352.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,1n-1m-14th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493236.0,1,14,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1702.47,634.1,2336.57,106.4,39.63,146.04,146.04,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,39721.69
0.0,238,17,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,9.0,0,0.0,0.0,1n-1m-14th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493239.0,1,14,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1710.88,630.26,2341.14,106.93,39.39,146.32,146.32,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,39799.38
0.0,238,17,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,11.0,0,0.0,0.0,1n-1m-14th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493241.0,1,14,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1738.43,644.69,2383.12,108.65,40.29,148.94,148.94,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,40513.04
2085.0,2128,152,1910964.0,147812.0,147812.0,1910964.0,2170.88,4700.16,2170.88,4700.16,14.0,0,8.0,8.0,1n-1m-14th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493244.0,1,14,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,16980.04,6219.3,23199.33,113.2,41.46,154.66,154.66,150.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3526298.16
2084.0,2156,154,1910964.0,141664.0,141664.0,1910964.0,2170.88,4689.92,2170.88,4689.92,16.0,0,7.0,7.0,1n-1m-14th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493246.0,1,14,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,17334.14,6334.27,23668.41,113.3,41.4,154.7,154.7,153.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3644935.14
2085.0,2198,157,1910964.0,141592.0,141592.0,1910964.0,2170.88,4679.68,2170.88,4679.68,2.0,0,5.0,5.0,1n-1m-14th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493248.0,1,14,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,17739.27,6572.02,24311.3,114.45,42.4,156.85,156.85,155.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3816874.1
2084.0,2184,156,1911112.0,144012.0,144012.0,1911112.0,2160.64,4679.68,2160.64,4679.68,5.0,0,8.0,8.0,1n-1m-14th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493250.0,1,14,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,17702.84,6490.79,24193.63,114.21,41.88,156.09,156.09,155.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3774206.2800000003
2085.0,2156,154,1910964.0,139788.0,139788.0,1910964.0,2170.88,4689.92,2170.88,4689.92,8.0,0,6.0,6.0,1n-1m-14th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493253.0,1,14,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,17256.99,6320.34,23577.33,113.53,41.58,155.11,155.11,152.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3630908.8200000003
0.0,288,18,265352.0,1060.0,1060.0,265352.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1n-1m-16th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493255.0,1,16,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1701.0,632.36,2333.36,106.31,39.52,145.84,145.84,16.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,42000.48
