AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Processo p/ no,Thread p/ proc.,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
1068.0,1782,99,2183252.0,152188.0,152188.0,2183252.0,2058.24,4270.08,2058.24,4270.08,722.0,0,7.0,7.0,100bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369705.0,100,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,9549.32,3263.93,12813.25,109.76,37.52,147.28,147.28,87.0, sdumont6166,1268511.75
1471.0,1710,95,2183208.0,150012.0,150012.0,2183208.0,2283.52,4290.56,2283.52,4290.56,1.0,0,245.0,245.0,100bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369716.0,100,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,9702.89,4018.67,13721.56,103.22,42.75,145.97,145.97,94.0, sdumont6168,1303548.2
1068.0,1584,88,2183204.0,145864.0,145864.0,2183204.0,2058.24,4270.08,2058.24,4270.08,1.0,0,20.0,20.0,100bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369717.0,100,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,9336.64,3738.14,13074.78,107.32,42.97,150.28,150.28,87.0, sdumont6168,1150580.64
1600.0,1692,94,2183208.0,149808.0,149808.0,2183208.0,2283.52,4300.8,2283.52,4300.8,1.0,0,9.0,9.0,100bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369718.0,100,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,10009.88,3963.32,13973.2,107.63,42.62,150.25,150.25,93.0, sdumont6168,1313480.8
15062.0,15660,870,2406004.0,150336.0,150336.0,2406004.0,7649.28,5099.52,7649.28,5099.52,1.0,0,11.0,11.0,1000bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369720.0,1000,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,95430.86,37892.75,133323.61,109.82,43.61,153.42,153.42,869.0, sdumont6168,115991540.7
15438.0,16038,891,2411440.0,156212.0,156212.0,2411440.0,7874.56,5109.76,7874.56,5109.76,1.0,0,250.0,250.0,1000bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369726.0,1000,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,106500.63,36605.84,143106.47,119.8,41.18,160.97,160.97,889.0, sdumont6167,127507864.77
15514.0,16074,893,2411440.0,154172.0,154172.0,2411440.0,7874.56,5109.76,7874.56,5109.76,1.0,0,252.0,252.0,1000bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369731.0,1000,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,96817.32,36404.51,133221.83,108.54,40.81,149.35,149.35,892.0, sdumont6165,118967094.18999998
16595.0,16812,934,2411424.0,149956.0,149956.0,2411424.0,8345.6,5130.24,8345.6,5130.24,4.0,0,120.0,120.0,1000bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369741.0,1000,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,102441.28,40553.58,142994.87,109.92,43.51,153.43,153.43,932.0, sdumont6168,133557208.58
17058.0,17658,981,2406020.0,151944.0,151944.0,2406020.0,8581.12,5120.0,8581.12,5120.0,1.0,0,256.0,256.0,1000bs-1n-18th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369748.0,1000,1,18,484520,DENV_1-brazil-BVBRC_genome_sequence,107015.87,35240.63,142256.49,109.2,35.96,145.16,145.16,980.0, sdumont6166,139553616.69
1958.0,2352,98,2588828.0,150472.0,150472.0,2588828.0,2283.52,4290.56,2283.52,4290.56,1.0,0,255.0,255.0,100bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369752.0,100,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,11345.95,3867.18,15213.13,116.97,39.87,156.84,156.84,97.0, sdumont6169,1490886.74
