AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Thread,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
3575.0,4272,178,2586888.0,146092.0,146092.0,2586888.0,1310.72,4618.24,1310.72,4618.24,1.0,0,23.0,23.0,1000bs-1n-24th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327568.0,1000,24,198574,DENV_2-colombia-BVBRC_genome_sequence,20478.88,6502.18,26981.06,116.36,36.94,153.3,153.3,176.0, sdumont6166,4802628.680000001
54.0,66,33,1100448.0,138816.0,138816.0,1100448.0,1116.16,4249.6,1116.16,4249.6,1.0,0,236.0,236.0,100bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327570.0,100,2,198574,DENV_2-colombia-BVBRC_genome_sequence,1677.35,1199.85,2877.19,54.11,38.7,92.81,92.81,31.0, sdumont6165,94947.27
0.0,60,30,265348.0,3120.0,3120.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327571.0,100,2,198574,DENV_2-colombia-BVBRC_genome_sequence,1172.8,823.55,1996.35,41.89,29.41,71.3,71.3,28.0, sdumont6165,59890.5
0.0,60,30,265348.0,3080.0,3080.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327573.0,100,2,198574,DENV_2-colombia-BVBRC_genome_sequence,1374.36,833.28,2207.63,47.39,28.73,76.13,76.13,29.0, sdumont6167,66228.90000000001
0.0,60,30,265348.0,3056.0,3056.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,100bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327577.0,100,2,198574,DENV_2-colombia-BVBRC_genome_sequence,1183.8,732.77,1916.57,40.82,25.27,66.09,66.09,29.0, sdumont6166,57497.1
535.0,566,283,1100412.0,146964.0,146964.0,1100412.0,1495.04,4669.44,1495.04,4669.44,1.0,0,0.0,0.0,1000bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327588.0,1000,2,198574,DENV_2-colombia-BVBRC_genome_sequence,16172.36,10018.34,26190.7,57.35,35.53,92.87,92.87,282.0, sdumont6166,7411968.100000001
533.0,570,285,1100556.0,147112.0,147112.0,1100556.0,1495.04,4669.44,1495.04,4669.44,1.0,0,0.0,0.0,1000bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327590.0,1000,2,198574,DENV_2-colombia-BVBRC_genome_sequence,16155.28,10010.63,26165.91,56.88,35.25,92.13,92.13,284.0, sdumont6166,7457284.35
531.0,570,285,1100408.0,145140.0,145140.0,1100408.0,1495.04,4669.44,1495.04,4669.44,1.0,0,0.0,0.0,1000bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327595.0,1000,2,198574,DENV_2-colombia-BVBRC_genome_sequence,16125.43,10036.42,26161.85,56.78,35.34,92.12,92.12,284.0, sdumont6166,7456127.25
535.0,566,283,1100408.0,144896.0,144896.0,1100408.0,1495.04,4669.44,1495.04,4669.44,1.0,0,0.0,0.0,1000bs-1n-2th-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11327599.0,1000,2,198574,DENV_2-colombia-BVBRC_genome_sequence,16098.62,11277.33,27375.95,57.09,39.99,97.08,97.08,282.0, sdumont6165,7747393.850000001
1397.0,2544,53,4209240.0,146352.0,146352.0,4209240.0,1198.08,4239.36,1198.08,4239.36,1.0,0,46.0,46.0,100bs-1n-48th-242689s-DENV_2-mexico-BVBRC_genome_sequence,sequana_cpu_dev,1,11327604.0,100,48,242689,DENV_2-mexico-BVBRC_genome_sequence,5634.53,5868.16,11502.69,110.48,115.06,225.54,225.54,51.0, sdumont6165,609642.5700000001
