AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
2274.0,4796,1199,1224488.0,161444.0,155662.0,1332140.0,3471.36,4648.96,3471.36,4659.2,122431.0,0,375.0,376.0,2n-1m-2th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532009.0,1,2,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,156210.01,92293.26,248503.26,130.39,77.04,207.43,103.72,1198.0, sdumont6232,297955408.74
411.0,1260,45,1919200.0,157972.0,151884.0,1925344.0,1853.44,4239.36,1853.44,4239.36,1.0,0,7.0,10.0,2n-1m-14th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532010.0,1,14,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9094.53,3318.39,12412.92,211.5,77.17,288.67,144.34,43.0, sdumont6166,558581.4
2278.0,4800,1200,1113338.0,161388.0,154268.0,1122100.0,3471.36,4648.96,3481.6,4659.2,123486.0,0,0.0,0.0,2n-1m-2th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532012.0,1,2,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,156239.96,92482.87,248722.83,130.31,77.13,207.44,103.72,1199.0, sdumont6232,298467396.0
404.0,1316,47,1919198.0,156032.0,152192.0,1925344.0,1853.44,4239.36,1853.44,4239.36,1.0,0,4.0,5.0,2n-1m-14th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532013.0,1,14,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9490.19,3480.42,12970.61,208.62,76.46,285.08,142.54,45.5, sdumont6166,609618.67
2291.0,4752,1188,1227116.0,160324.0,154672.0,1344560.0,3481.6,4659.2,3481.6,4659.2,124529.0,0,0.0,0.0,2n-1m-2th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532015.0,1,2,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,155168.99,91585.09,246754.08,130.72,77.16,207.88,103.94,1187.0, sdumont6232,293143847.04
406.0,1288,46,1919192.0,157696.0,153128.0,1925340.0,1853.44,4239.36,1853.44,4239.36,3.0,0,21.0,34.0,2n-1m-14th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532017.0,1,14,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9979.24,4036.91,14016.15,221.76,89.71,311.47,155.73,45.0, sdumont6167,644742.9
2723.0,5568,696,1244406.0,163732.0,155698.0,1250552.0,2723.84,4648.96,2723.84,4648.96,125551.0,0,79.0,159.0,2n-1m-4th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532018.0,1,4,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,111855.8,53778.73,165634.53,160.94,77.38,238.32,119.16,695.0, sdumont6232,115281632.88
469.0,1472,46,2054484.0,158792.0,152358.0,2060724.0,1853.44,4239.36,1853.44,4239.36,1.0,0,8.0,10.0,2n-1m-16th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532020.0,1,16,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9640.46,3507.95,13148.41,214.23,77.95,292.19,146.09,45.0, sdumont6166,604826.86
2697.0,5696,712,1261566.0,162340.0,157368.0,1267708.0,14069.76,4638.72,14069.76,4638.72,125613.0,0,387.0,387.0,2n-1m-4th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532021.0,1,4,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,109481.18,55850.43,165331.61,153.98,78.55,232.53,116.27,711.0, sdumont6039,117716106.32
469.0,1536,48,2054444.0,158360.0,154278.0,2060588.0,1853.44,4239.36,1853.44,4239.36,1.0,0,11.0,15.0,2n-1m-16th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532023.0,1,16,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9683.2,3508.1,13191.3,210.5,76.26,286.77,143.38,46.0, sdumont6166,633182.3999999999
2696.0,5760,720,1244500.0,161800.0,155976.0,1250556.0,2723.84,4638.72,2723.84,4638.72,125433.0,0,194.0,388.0,2n-1m-4th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532024.0,1,4,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,111912.46,58111.63,170024.08,156.08,81.05,237.13,118.57,717.0, sdumont6072,122417337.6
467.0,1472,46,2054410.0,156352.0,152090.0,2060576.0,1853.44,4239.36,1853.44,4239.36,1.0,0,23.0,32.0,2n-1m-16th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532026.0,1,16,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9617.09,3501.68,13118.77,213.71,77.82,291.53,145.76,45.0, sdumont6165,603463.42
2702.0,5768,721,1247368.0,164716.0,156198.0,1256300.0,2723.84,4638.72,2723.84,4638.72,125789.0,0,0.0,1.0,2n-1m-4th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532027.0,1,4,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,114628.31,55420.07,170048.37,159.21,76.97,236.18,118.09,720.0, sdumont6233,122604874.77
467.0,1568,49,2054444.0,155968.0,150262.0,2060588.0,1853.44,4239.36,1853.44,4239.36,1.0,0,12.0,14.0,2n-1m-16th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532028.0,1,16,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10128.47,3675.7,13804.17,215.5,78.21,293.71,146.85,47.0, sdumont6166,676404.33
2719.0,5624,703,1263232.0,162464.0,158304.0,1267544.0,14069.76,4648.96,14069.76,4648.96,125804.0,0,0.0,0.0,2n-1m-4th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532030.0,1,4,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,108251.96,54929.6,163181.56,154.43,78.36,232.78,116.39,701.0, sdumont6039,114716636.68
463.0,1472,46,2054410.0,156376.0,150916.0,2060576.0,1853.44,4239.36,1853.44,4239.36,1.0,0,35.0,60.0,2n-1m-16th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532031.0,1,16,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9493.49,3487.55,12981.03,210.97,77.5,288.47,144.23,45.0, sdumont6166,597127.38
3196.0,6564,547,1496266.0,165860.0,159286.0,1613524.0,2478.08,4648.96,2488.32,4648.96,125657.0,0,0.0,0.0,2n-1m-6th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532033.0,1,6,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,100463.03,43839.38,144302.41,184.34,80.44,264.78,132.39,545.0, sdumont6072,78933418.27
527.0,1692,47,2189600.0,158136.0,154182.0,2195756.0,1853.44,4239.36,1853.44,4239.36,1.0,0,9.0,11.0,2n-1m-18th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532034.0,1,18,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9639.57,3497.45,13137.02,209.56,76.03,285.59,142.79,46.0, sdumont6166,617439.9400000001
3360.0,6852,571,1379126.0,162388.0,155908.0,1385364.0,2529.28,4648.96,2529.28,4648.96,125982.0,0,0.0,0.0,2n-1m-6th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532036.0,1,6,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,106191.65,43537.02,149728.68,186.3,76.38,262.68,131.34,570.0, sdumont6232,85495076.28
528.0,1692,47,2189586.0,156768.0,151408.0,2195736.0,1853.44,4239.36,1853.44,4239.36,1.0,0,12.0,14.0,2n-1m-18th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532037.0,1,18,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9700.2,3527.8,13227.99,210.87,76.69,287.57,143.78,46.0, sdumont6165,621715.53
3179.0,6780,565,1379258.0,162208.0,158018.0,1385460.0,2478.08,4628.48,2478.08,4628.48,125868.0,0,1.0,2.0,2n-1m-6th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532039.0,1,6,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,103465.88,45501.05,148966.94,183.45,80.68,264.13,132.06,564.0, sdumont6081,84166321.1
528.0,1728,48,2189582.0,156508.0,152134.0,2195740.0,1853.44,4239.36,1853.44,4239.36,1.0,0,8.0,9.0,2n-1m-18th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532040.0,1,18,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10078.87,3652.67,13731.54,214.44,77.72,292.16,146.08,47.0, sdumont6166,659113.92
3192.0,6588,549,1396164.0,168672.0,161646.0,1402280.0,11345.92,4648.96,11345.92,4648.96,125818.0,0,1.0,1.0,2n-1m-6th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532042.0,1,6,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,98765.73,42888.36,141654.09,180.23,78.26,258.49,129.25,548.0, sdumont6039,77768095.41
528.0,1692,47,2189588.0,158576.0,154362.0,2195740.0,1853.44,4239.36,1853.44,4239.36,1.0,0,8.0,12.0,2n-1m-18th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532043.0,1,18,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9706.45,3536.57,13243.03,211.01,76.88,287.89,143.95,46.0, sdumont6166,622422.41
3197.0,6588,549,1490528.0,161888.0,155768.0,1595704.0,2478.08,4648.96,2478.08,4648.96,126048.0,0,0.0,1.0,2n-1m-6th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532045.0,1,6,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,103154.77,42118.02,145272.79,188.24,76.86,265.1,132.55,548.0, sdumont6232,79754761.71000001
528.0,1728,48,2189602.0,156436.0,152390.0,2195756.0,1853.44,4239.36,1853.44,4239.36,1.0,0,10.0,17.0,2n-1m-18th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532046.0,1,18,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9833.12,3572.97,13406.09,209.22,76.02,285.24,142.62,47.0, sdumont6166,643492.3200000001
3802.0,7744,484,1514104.0,164108.0,157178.0,1520256.0,2385.92,4648.96,2385.92,4648.96,125933.0,0,3.0,4.0,2n-1m-8th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532050.0,1,8,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,98714.9,39125.52,137840.42,204.38,81.01,285.38,142.69,483.0, sdumont6072,66714763.28000001
586.0,1880,47,2324768.0,156364.0,153438.0,2330916.0,1853.44,4239.36,1853.44,4239.36,2.0,0,15.0,18.0,2n-1m-20th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11532052.0,1,20,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9841.99,3484.6,13326.59,213.96,75.75,289.71,144.85,46.0, sdumont6165,626349.73
3797.0,7824,489,1514094.0,164248.0,157174.0,1520256.0,2396.16,4648.96,2396.16,4648.96,126240.0,0,1.0,3.0,2n-1m-8th-1000bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu,2,11532055.0,1,8,1000,484520,DENV_1-brazil-BVBRC_genome_sequence,100621.9,37313.14,137935.05,207.04,76.78,283.82,141.91,486.0, sdumont6232,67450239.44999999
