Num de Execuções;Nome do Executável
27;entropy
27;ef_Gr_CIPS_SiO2n
27;e2_wt
27;bench_2g_24c
27;antraceno
27;a700-fvitseg
27;Teste1
27;TR1_rho1
27;RpenNP_equilibration
27;Octopus_026
27;NPB-MZ
27;LMO-CD14
27;InibidorBrP
27;CD36_DFe
26;vLLM2
26;toPDB
26;system-DFT
26;sibyll_402_17_099
26;sibyll_402_17_087
26;run_proton.sh
26;run_lapw
26;rmsf
26;rlx-biphenylene
26;r1_npt
26;qgsjet_5626_17_115
26;qgsjet_5626_17_104
26;qgsjet_5626_17_081
26;pytest
26;prove
26;pretrain_MaskedAutoEncoderViT_V0_seam_ai_B1_E0_lr0.001
26;mpro-mut
26;minidiff
26;lig_3_desprot_eq
26;ion_contacts
26;gst-sup
26;ferro-exp
26;exp_het_openmm
26;dev
26;depp6
26;amortar_mt4_run2
26;PocoA_FPBA_1x10met
26;NPB-MZ-sp-hybrid-4
26;InGaP-0.50
26;GRU_6d_NEE
26;FA3_trans
26;Al-1N-hollow
26;647-refinment
26;2bridgeA
26;02_sinput
25;sibyll_402_17_096
25;sibyll_14_17_107
25;sibyll_14_17_101
25;sibyll_14_17_094
25;scr
25;scf_only_Gr_CIPS
25;pm
25;phos_mlff_strain
25;penta_gw
25;partrans_linux_gcc_opt
25;paraelec_Gr_CIPS
25;p2x2x1
25;npt2
25;mlffffff
25;minerva-dg-commands_training_domain_validation_difex_adam_lr-0.0001
25;md5_R1
25;jobmcmc-%j
25;hollowp
25;hexa_pass
25;e2co.index8.try2
25;e2co.index8.try1
25;e2co.index8.try0
25;e2co.index7.try3
25;e2co.index7.try2
25;check_adan
25;blend_gpu
25;bexos2
25;amortar_mt4_run3
25;Si-teste
25;Octopus_030
25;NptCrt
25;MLtest
25;Gr_CIPS2x2
25;Caso12_E3
25;Al-2N-bridge
25;Al-1N-bridge
25;2topA
25;1nbq
25;1ef7-DNP
25;1ds6-LNP
25;1dql-LNPs
25;1415
24;xtal1
24;sibyll_402_17_114
24;sibyll_402_17_101
24;sibyll_402_17_094
24;sibyll_402_17_089
24;sam_r1
24;qe+ausurf+container-nvidia
24;pure_water
24;protFUNmin
24;newTR1
24;geojan
24;e2co.index9.try3
24;e2co.index9.try2
24;e2co.index9.try1
24;e2co.index9.try0
24;e2co.index8.try3
24;e2co.index10.try3
24;e2co.index10.try2
24;e2co.index10.try1
24;e2co.index10.try0
24;core_mrb
24;collectl-extractor
24;amrcm_N40_mt1
24;SiO2GrCIPSscanCIPS
24;SatRain_ML_Job
24;R1_NPT
24;PocoC_FPBA_1x10m
24;Octopus_027
24;NPB
24;M
24;Lne5-TRM
24;J208_1
24;HC-GPU
24;GA_mRMR_7d
24;Fe-pol
24;FESx
24;FAtrans2
24;DMnO4-OVA
24;CE20_cpu
24;Au-1N-bridge
24;Al-3N-bridge
24;5to5
24;4mfq
23;water_pbe_300
23;wannier1
23;umbrella
23;spinup
23;sibyll_402_17_090
23;sdumont2nd_script.sh
23;rlx-01grafeno
23;ptopA
23;poisson3d_c
23;persistent_worker_starter.sh
23;payloads
23;mpirun
23;ml
23;minerva-dg-commands_training_domain_validation_vrex_adam_lr-0.0001
23;minerva-dg-commands_training_domain_validation_rdm_adam_lr-0.0001_20hz
23;minerva-dg-commands_training_domain_validation_hmoe_adam_lr-0.001_20hz
23;minerva-dg-commands_training_domain_validation_difex_adam_lr-0.001
23;md3_R1
23;md1fis
23;md1_R4
23;ls
23;llm_stability
23;llama_torchrun
23;graph_irfs
23;fnet
23;final
23;deepmd
23;combo-vitmae
23;amrwind-turbina180-2
23;amrwind-turb180-1
23;absco24fi72
23;Simulselect_1mol
23;SIGLEC-LNP
