AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
278.0,688,43,1304190.0,138632.0,138224.0,1526196.0,1208.32,4413.44,1280.0,4444.16,1.0,0,302.0,317.0,1n-2m-8th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529253.0,2,8,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4150.25,3832.64,7982.89,101.23,93.48,194.7,194.7,41.0, sdumont6045,343264.27
275.0,672,42,1304336.0,139056.0,138434.0,1522116.0,1382.4,4546.56,1699.84,4710.4,1.0,0,3.0,4.0,1n-2m-8th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529258.0,2,8,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4186.89,4136.95,8323.84,104.67,103.42,208.1,208.1,40.0, sdumont6167,349601.28
23.0,120,6,737074.0,131564.0,67384.0,1208796.0,573.44,2119.68,1136.64,4239.36,1.0,0,1.0,2.0,1n-2m-10th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529261.0,2,10,100,187026,DENV_1-colombia-BVBRC_genome_sequence,474.17,461.33,935.5,94.83,92.27,187.1,187.1,5.0, sdumont6167,5613.0
20.0,140,7,898234.0,21408.0,12284.0,1531116.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,0.0,1n-2m-10th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529263.0,2,10,100,187026,DENV_1-colombia-BVBRC_genome_sequence,475.41,459.25,934.66,118.85,114.81,233.66,233.66,4.0, sdumont6167,6542.62
20.0,120,6,956982.0,134612.0,68868.0,1648612.0,604.16,2129.92,1218.56,4270.08,1.0,0,0.0,1.0,1n-2m-10th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529269.0,2,10,100,187026,DENV_1-colombia-BVBRC_genome_sequence,405.27,431.97,837.24,101.32,107.99,209.31,209.31,4.0, sdumont6165,5023.4400000000005
20.0,120,6,265352.0,3280.0,3234.0,265352.0,573.44,2119.68,1136.64,4239.36,1.0,0,2.0,4.0,1n-2m-10th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529273.0,2,10,100,187026,DENV_1-colombia-BVBRC_genome_sequence,433.32,425.78,859.11,108.33,106.45,214.78,214.78,4.0, sdumont6169,5154.66
21.0,100,5,957130.0,139148.0,71148.0,1648908.0,604.16,2129.92,1218.56,4270.08,1.0,0,2.0,4.0,1n-2m-10th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529276.0,2,10,100,187026,DENV_1-colombia-BVBRC_genome_sequence,425.19,424.74,849.93,106.3,106.18,212.48,212.48,4.0, sdumont6169,4249.65
292.0,880,44,1439432.0,138880.0,138360.0,1661496.0,1392.64,4546.56,1730.56,4710.4,1.0,0,2.0,5.0,1n-2m-10th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529277.0,2,10,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4059.54,4239.88,8299.42,96.66,100.95,197.61,197.61,42.0, sdumont6165,365174.48
292.0,900,45,1439484.0,140832.0,139360.0,1657312.0,1392.64,4546.56,1720.32,4710.4,3.0,0,7.0,14.0,1n-2m-10th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529280.0,2,10,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4063.48,4542.88,8606.36,94.5,105.65,200.15,200.15,43.0, sdumont6168,387286.2
353.0,880,44,1439358.0,138840.0,137264.0,1661348.0,1208.32,4413.44,1280.0,4444.16,1.0,0,2.0,2.0,1n-2m-10th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529281.0,2,10,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4117.96,4565.42,8683.39,98.05,108.7,206.75,206.75,42.0, sdumont6168,382069.16
